id,name,ticker,type,strike,maturity
1,BTC1,BTC/USD,call,4500,1
2,BTC1,BTC/USD,call,4500,3
3,BTC1,BTC/USD,call,4500,10
4,BTC1,BTC/USD,call,4500,17
5,BTC1,BTC/USD,call,4500,31
6,BTC1,BTC/USD,call,4500,66
7,BTC1,BTC/USD,call,4500,129
70,BTC1,BTC/USD,call,4500,220
71,BTC1,BTC/USD,call,4500,311
8,BTC1,BTC/USD,call,5500,1
9,BTC1,BTC/USD,call,5500,3
10,BTC1,BTC/USD,call,5500,10
11,BTC1,BTC/USD,call,5500,17
12,BTC1,BTC/USD,call,5500,31
13,BTC1,BTC/USD,call,5500,66
14,BTC1,BTC/USD,call,5500,129
140,BTC1,BTC/USD,call,5500,220
1401,BTC1,BTC/USD,call,5500,311
15,BTC1,BTC/USD,call,6500,1
16,BTC1,BTC/USD,call,6500,3
17,BTC1,BTC/USD,call,6500,10
18,BTC1,BTC/USD,call,6500,17
19,BTC1,BTC/USD,call,6500,31
20,BTC1,BTC/USD,call,6500,66
21,BTC1,BTC/USD,call,6500,129
210,BTC1,BTC/USD,call,6500,220
2101,BTC1,BTC/USD,call,6500,311
22,BTC1,BTC/USD,call,7500,1
23,BTC1,BTC/USD,call,7500,30
24,BTC1,BTC/USD,call,7500,10
25,BTC1,BTC/USD,call,7500,17
26,BTC1,BTC/USD,call,7500,31
27,BTC1,BTC/USD,call,7500,66
28,BTC1,BTC/USD,call,7500,129
280,BTC1,BTC/USD,call,7500,220
2801,BTC1,BTC/USD,call,7500,311
29,BTC1,BTC/USD,call,8000,1
30,BTC1,BTC/USD,call,8000,3
31,BTC1,BTC/USD,call,8000,10
32,BTC1,BTC/USD,call,8000,17
33,BTC1,BTC/USD,call,8000,31
34,BTC1,BTC/USD,call,8000,66
35,BTC1,BTC/USD,call,8000,129
350,BTC1,BTC/USD,call,8000,220
3501,BTC1,BTC/USD,call,8000,311
36,BTC1,BTC/USD,call,9000,1
37,BTC1,BTC/USD,call,9000,3
38,BTC1,BTC/USD,call,9000,10
38,BTC1,BTC/USD,call,9000,17
40,BTC1,BTC/USD,call,9000,31
41,BTC1,BTC/USD,call,9000,66
42,BTC1,BTC/USD,call,9000,129
420,BTC1,BTC/USD,call,9000,220
4201,BTC1,BTC/USD,call,9000,311
